おた	1851	1851	5594	オタ
おた	1851	1851	5587	ヲタ
おとげー	1841	1841	5951	音ゲー
きめー	2591	2591	7412	キメー
きゃぷ	1841	1841	6346	キャプ
くそげー	1841	1841	5534	クソゲー
こら	1851	1851	5785	コラ
ごっつ	12	12	5091	ごっつ
さいこー	2591	2591	3934	サイコー
しょぼーん	1931	1931	6947	ショボーン
じゃんきー	1931	1931	5689	ジャンキー
すまそ	2591	2591	4484	スマソ
たま	1999	1999	3041	たま
たん	1999	1999	3036	たん
ちっく	2028	2028	1363	チック
つい	1851	1851	6242	ツイ
てきとー	1931	1931	4763	テキトー
でふぉ	1931	1931	5178	デフォ
とほほ	1931	1931	6013	トホホ
ぬこ	1851	1851	6306	ぬこ
ねたばれ	1841	1841	4567	ネタバレ
のし	2591	2591	3917	ノシ
ばばあ	1851	1851	5540	ババア
ぱち	1851	1851	6010	パチ
ふるぼっこ	1841	1841	6161	フルボッコ
ぶさ	1851	1851	6676	ブサ
へたれ	1931	1931	6362	へたれ
へたれ	1931	1931	5450	ヘタレ
まんせー	2591	2591	5036	マンセー
めちゃ	12	12	4684	メチャ
やばす	2591	2591	6062	ヤバス
やん	1999	1999	3087	やん
ろり	1931	1931	5278	ロリ
