いまじか	1851	1851	9319	IMAGICA
えすえむしー	1841	1841	10686	SMC
えすしーしー	1841	1841	10638	SCC
えすびーえす	1841	1841	10025	SBS
えっくす	1851	1851	7030	X
えむてっく	1841	1841	9838	M-TEC
えるえむえふえーおー	1841	1841	10879	LMFAO
えんらいてんど	1841	1841	9289	Enlightened
かもん	1851	1851	9855	C'mon
がお	1851	1851	12123	GAO
きゅーと	1931	1931	5047	℃-ute
くいっく	1931	1931	7279	QUICK
ぐーすはうす	1841	1841	10128	Goosehouse
けん	1922	1922	8433	KENN
さい	1851	1851	10123	PSY
ざーど	1929	1929	5777	ZARD
じぇいしー	1851	1851	9279	JC
じょい	1851	1851	9143	JOY
じる	1923	1923	9137	GILLE
ちょーや	1851	1851	8719	CHOYA
てど	1920	1920	11071	TED
でぃーびー	1841	1841	8608	DB
とーとー	1841	1841	9202	TOTO
とーわ	1920	1920	8496	TOWA
びーず	1851	1851	8074	B'z
びーびーえす	1841	1841	10156	BBS
ほーや	1841	1841	11210	HOYA
みゅーず	1851	1851	7144	μ's
めいん	1931	1931	5707	May'n
ゆい	1922	1922	9298	YUI
りお	1922	1922	9942	Rio
りさ	1922	1922	8865	LiSA
